Time,Mon,Tue,Wed,Th,Fri
9:00,,,,,
9:30,,,,,
10:00,, cs194 Jacob220 11:29,, cs194 Jacob220 11:29,
10:00,,,,,
10:30,,,,,
11:00, stat133 Evans10 11:59,, stat133 Evans10 11:59, State133 evans342 Lab 12:59, stat133 Evans10 11:59
11:00,,,,,
11:30,,,,,
12:00,,, cs168 dis Etch3113 12:59,,
12:00,,,,,
12:30,, Bioeng100 stanley106 13:59,, Bioeng100 stanley106 13:59,
12:30,,,,,
13:00,,, Bioeng Dis Barrows60 13:59,,
13:00,,,,,
13:30,,,,,
14:00,, cs168 dwinelle155 15:29,, cs168 dwinelle155 15:29,
14:00,,,,,
14:30,,,,,
15:00,,,,,
15:30,,,,,
16:00, cs194 Jacobs210 16:49,,,,
16:00,,,,,
16:30,,,,,
17:00,,, cs170 dis Etch3111 17:59,,
17:00,,,,,
17:30,,,,,
18:00,,,,,
18:30,, cs170 Pimentel1 19:59,, cs170 Pimentel1 19:59,
18:30,,,,,
19:00,,,,,
19:30,,,,,
20:00,,,,,
20:30,,,,,
